pair,source_v_neg,current_neg_a,voltage_neg_v,source_v_pos,current_pos_a,voltage_pos_v,delta_v,delta_i,differential_resistance_ohm,abs_step_ohm
113,-0.03,-2.035173e-06,-0.0299018762,0.03,2.049277e-06,0.0301361229,0.0600379991,4.0844499999999995e-06,14699.163681768661,7.30234956366985
114,-0.03,-2.033926e-06,-0.0299014649,0.03,2.049813e-06,0.0301376915,0.0600391564,4.0837389999999996e-06,14702.006274152194,2.842592383532974
115,-0.03,-2.034331e-06,-0.029901594,0.03,2.049052e-06,0.0301377011,0.0600392951,4.083383e-06,14703.322000409955,1.3157262577606161
116,-0.03,-2.035056e-06,-0.0299005084,0.03,2.049012e-06,0.0301367446,0.060037253,4.0840679999999995e-06,14700.35587066621,2.966129743745114
117,-0.03,-2.036146e-06,-0.0299010584,0.03,2.048663e-06,0.0301356494,0.0600367078,4.084809e-06,14697.55569966674,2.8001709994696284
118,-0.03,-2.035435e-06,-0.0299001784,0.03,2.047645e-06,0.0301361516,0.06003633,4.08308e-06,14703.686922617238,6.131222950498341
119,-0.03,-2.035628e-06,-0.0299006662,0.03,2.045704e-06,0.0301374094,0.0600380756,4.081332e-06,14710.412090954618,6.725168337379728
120,-0.03,-2.035608e-06,-0.0299001449,0.03,2.048643e-06,0.0301368259,0.060036970800000006,4.084251e-06,14699.628108066816,10.783982887802267
121,-0.03,-2.034964e-06,-0.0298998006,0.03,2.048386e-06,0.0301373281,0.0600371287,4.0833500000000005e-06,14702.910281998847,3.282173932031583
122,-0.03,-2.034e-06,-0.0299009819,0.03,2.047134e-06,0.0301346021,0.060035584,4.081134e-06,14710.51526364976,7.604981650913032
123,-0.03,-2.034751e-06,-0.0299004271,0.03,2.047718e-06,0.0301340808,0.060034507900000006,4.0824690000000005e-06,14705.441217067417,5.074046582343726
124,-0.03,-2.033871e-06,-0.0299007523,0.03,2.049675e-06,0.0301366633,0.060037415600000005,4.083546e-06,14702.274836624836,3.166380442580703
125,-0.03,-2.033941e-06,-0.0299014553,0.03,2.049607e-06,0.0301361994,0.0600376547,4.0835480000000004e-06,14702.326187913059,0.05135128822257684
126,-0.03,-2.035011e-06,-0.0299003841,0.03,2.048845e-06,0.0301378828,0.0600382669,4.083856e-06,14701.367261725194,0.958926187864563
127,-0.03,-2.03573e-06,-0.0299025314,0.03,2.049924e-06,0.0301379307,0.0600404621,4.085654e-06,14695.434831241217,5.932430483977441
128,-0.03,-2.036407e-06,-0.0299008623,0.03,2.047142e-06,0.0301368259,0.0600376882,4.083549e-06,14702.330791181887,6.895959940669854
129,-0.03,-2.036114e-06,-0.029899638,0.03,2.046265e-06,0.0301372875,0.0600369255,4.082378999999999e-06,14706.35761647804,4.026825296154129
130,-0.03,-2.035173e-06,-0.0298992816,0.03,2.045096e-06,0.0301374501,0.0600367317,4.080269e-06,14713.915111969332,7.557495491291775
131,-0.03,-2.034688e-06,-0.0298984112,0.03,2.048852e-06,0.0301360776,0.060034488799999994,4.08354e-06,14701.57970780254,12.335404166791704
132,-0.03,-2.033534e-06,-0.0298994251,0.03,2.048496e-06,0.0301359341,0.0600353592,4.08203e-06,14707.231255037323,5.651547234781901
133,-0.03,-2.035463e-06,-0.0299002811,0.03,2.046008e-06,0.0301347959,0.060035077,4.0814710000000005e-06,14709.176421932189,1.9451668948659062
134,-0.03,-2.0348e-06,-0.0298993007,0.03,2.049152e-06,0.0301367567,0.060036057399999995,4.0839520000000006e-06,14700.480661868696,8.695760063492344
135,-0.03,-2.035422e-06,-0.0298999081,0.03,2.046914e-06,0.0301376653,0.0600375734,4.082336e-06,14706.671229413749,6.190567545052545
136,-0.03,-2.033516e-06,-0.0299011372,0.03,2.048573e-06,0.0301360489,0.0600371861,4.082089e-06,14707.466226238575,0.7949968248267396
137,-0.03,-2.033457e-06,-0.0299005728,0.03,2.046741e-06,0.0301357763,0.0600363491,4.080198e-06,14714.077380558492,6.61115431991675
138,-0.03,-2.035276e-06,-0.029899602,0.03,2.047929e-06,0.030136288,0.06003589,4.0832050000000005e-06,14703.129037116676,10.948343441816178
139,-0.03,-2.034471e-06,-0.0298982677,0.03,2.049981e-06,0.0301360297,0.060034297400000006,4.084452e-06,14698.250193661232,4.878843455444439
140,-0.03,-2.034569e-06,-0.0299007928,0.03,2.048446e-06,0.0301370962,0.060037889,4.083015000000001e-06,14704.302825240658,6.052631579426816
141,-0.03,-2.035819e-06,-0.0299001281,0.03,2.046622e-06,0.0301378566,0.0600379847,4.082441000000001e-06,14706.393723754976,2.0908985143178143
142,-0.03,-2.037058e-06,-0.0298992481,0.03,2.050782e-06,0.0301377992,0.0600370473,4.0878399999999995e-06,14686.740992798155,19.65273095682096
143,-0.03,-2.036197e-06,-0.0298990616,0.03,2.048136e-06,0.0301365032,0.060035564799999996,4.0843329999999994e-06,14698.988745530789,12.247752732633671
