index,chunk,resistance_ohm,negative_source_voltage_v,negative_measured_voltage_v,negative_current_a,negative_resistance_ohm,positive_source_voltage_v,positive_measured_voltage_v,positive_current_a,positive_resistance_ohm,compliance_hit
142,3,15680.9676216,-0.03,-0.0299045816,-1.885696e-06,15858.6440232,0.03,0.0301335782,1.943032e-06,15508.5341878,0
143,3,15691.7951591,-0.03,-0.0299011621,-1.885062e-06,15862.1637379,0.03,0.0301321626,1.940716e-06,15526.3122476,0
144,3,15693.9257096,-0.03,-0.0299027116,-1.883536e-06,15875.8375736,0.03,0.0301331143,1.941882e-06,15517.4795894,0
145,3,15684.5494912,-0.03,-0.0299034099,-1.884802e-06,15865.5444445,0.03,0.0301312109,1.942826e-06,15508.9600922,0
146,3,15686.3009482,-0.03,-0.0299027786,-1.884959e-06,15863.888074,0.03,0.0301325069,1.942284e-06,15513.9551682,0
147,3,15692.2210338,-0.03,-0.0299036633,-1.883863e-06,15873.587039,0.03,0.0301316987,1.941941e-06,15516.2791763,0
148,3,15686.9956195,-0.03,-0.0299030273,-1.884374e-06,15868.9449653,0.03,0.0301306657,1.942598e-06,15510.4997019,0
149,3,15680.3918639,-0.03,-0.0299047872,-1.885802e-06,15857.8616419,0.03,0.0301319522,1.942976e-06,15508.1443106,0
150,3,15687.1878192,-0.03,-0.0299045098,-1.885459e-06,15860.5993554,0.03,0.0301314404,1.94161e-06,15518.7913124,0
151,4,15704.622686,-0.03,-0.0299048941,-1.882373e-06,15886.8056969,0.03,0.0301317426,1.940491e-06,15527.896084,0
152,4,15688.7601465,-0.03,-0.0299032442,-1.884868e-06,15864.9009904,0.03,0.0301325891,1.94181e-06,15517.7844897,0
153,4,15681.0557343,-0.03,-0.0299026703,-1.88586e-06,15856.2514185,0.03,0.0301325652,1.94266e-06,15510.9824673,0
154,4,15695.6739769,-0.03,-0.0299023929,-1.882764e-06,15882.1779575,0.03,0.0301330578,1.942204e-06,15514.8778398,0
155,4,15700.1550774,-0.03,-0.0299027468,-1.883217e-06,15878.5454889,0.03,0.0301330291,1.94068e-06,15527.0467568,0
156,4,15692.3474035,-0.03,-0.0299032538,-1.884752e-06,15865.882514,0.03,0.0301339569,1.941139e-06,15523.853212,0
157,4,15682.9125387,-0.03,-0.0299016038,-1.884588e-06,15866.3876667,0.03,0.0301331343,1.943447e-06,15504.9941161,0
158,4,15691.9193831,-0.03,-0.0299024312,-1.884273e-06,15869.4792103,0.03,0.0301332204,1.941623e-06,15519.6041662,0
159,4,15691.205407,-0.03,-0.0299028377,-1.884602e-06,15866.9245284,0.03,0.0301338325,1.941533e-06,15520.6388457,0
160,4,15691.5902247,-0.03,-0.0299039424,-1.884845e-06,15865.4650117,0.03,0.0301337608,1.941262e-06,15522.7685907,0
161,4,15704.4273936,-0.03,-0.029903622,-1.88241e-06,15885.8176487,0.03,0.030133603,1.940539e-06,15528.4706981,0
162,4,15700.2100744,-0.03,-0.0299020534,-1.883164e-06,15878.6241666,0.03,0.030133713,1.940719e-06,15527.087126,0
163,4,15690.2885217,-0.03,-0.0299030338,-1.884076e-06,15871.45837,0.03,0.030131054,1.942118e-06,15514.5331025,0
164,4,15683.3668365,-0.03,-0.029901953,-1.885302e-06,15860.5639839,0.03,0.0301339282,1.942695e-06,15511.4046209,0
165,4,15692.5502982,-0.03,-0.0299025173,-1.88393e-06,15872.4142086,0.03,0.030133053,1.941807e-06,15518.0473652,0
166,4,15691.5794899,-0.03,-0.0299053054,-1.88335e-06,15878.782701,0.03,0.0301327804,1.942784e-06,15510.1032333,0
167,4,15681.7186991,-0.03,-0.0299032251,-1.885315e-06,15861.1293603,0.03,0.030131867,1.943034e-06,15507.6375401,0
168,4,15687.0253076,-0.03,-0.0299046885,-1.886043e-06,15855.7829806,0.03,0.0301325222,1.941146e-06,15523.0581316,0
169,4,15690.7128903,-0.03,-0.0299033494,-1.884505e-06,15868.0127673,0.03,0.0301322209,1.94168e-06,15518.633812,0
170,4,15690.1117292,-0.03,-0.0299049946,-1.884263e-06,15870.9238572,0.03,0.0301329512,1.94222e-06,15514.6951427,0
171,4,15683.2934186,-0.03,-0.0299053085,-1.885101e-06,15864.0351366,0.03,0.0301328794,1.943061e-06,15507.9430857,0
172,4,15683.6165907,-0.03,-0.0299035772,-1.885337e-06,15861.1310339,0.03,0.0301318799,1.942572e-06,15511.332347,0
173,4,15693.4498724,-0.03,-0.0299034864,-1.884681e-06,15866.6036321,0.03,0.0301317747,1.940817e-06,15525.304395,0
174,4,15693.1910151,-0.03,-0.0299030512,-1.88337e-06,15877.417183,0.03,0.0301336207,1.942281e-06,15514.5525802,0
175,4,15692.8005291,-0.03,-0.0299030894,-1.883366e-06,15877.4711872,0.03,0.0301323868,1.942304e-06,15513.7335865,0
176,4,15690.0156837,-0.03,-0.0299014682,-1.88539e-06,15859.5665618,0.03,0.0301327838,1.940881e-06,15525.312371,0
177,4,15684.1554014,-0.03,-0.0299031277,-1.885571e-06,15858.9242728,0.03,0.0301321334,1.942194e-06,15514.4817665,0
178,4,15694.9462873,-0.03,-0.0299024247,-1.88442e-06,15868.2378132,0.03,0.0301333816,1.940748e-06,15526.6843506,0
179,4,15688.9412824,-0.03,-0.0299017838,-1.884607e-06,15866.3232175,0.03,0.0301335346,1.941994e-06,15516.8010818,0
180,4,15689.0280819,-0.03,-0.029903319,-1.885121e-06,15862.8114588,0.03,0.0301332572,1.941539e-06,15520.2945704,0
181,4,15701.0728369,-0.03,-0.0299040842,-1.882411e-06,15886.0547457,0.03,0.0301320138,1.941283e-06,15521.7007515,0
182,4,15699.6084616,-0.03,-0.0299037925,-1.883248e-06,15878.8393775,0.03,0.0301338024,1.940898e-06,15525.701196,0
183,4,15695.5018434,-0.03,-0.0299032281,-1.883751e-06,15874.299788,0.03,0.0301332907,1.941327e-06,15522.0066995,0
184,4,15690.9097277,-0.03,-0.0299018843,-1.884558e-06,15866.7890826,0.03,0.0301320855,1.941477e-06,15520.1866929,0
185,4,15698.5635023,-0.03,-0.0299029173,-1.882588e-06,15883.9413085,0.03,0.0301342137,1.941783e-06,15518.8369143,0
186,4,15688.6223707,-0.03,-0.0299031325,-1.884317e-06,15869.4808251,0.03,0.0301333816,1.942438e-06,15513.1755042,0
187,4,15680.25672,-0.03,-0.0299013439,-1.885761e-06,15856.3804745,0.03,0.0301334198,1.942924e-06,15509.3147236,0
188,4,15681.8323129,-0.03,-0.0299033286,-1.885632e-06,15858.5177808,0.03,0.0301336255,1.942808e-06,15510.346622,0
189,4,15692.8797522,-0.03,-0.0299045672,-1.883698e-06,15875.4573185,0.03,0.0301340368,1.942152e-06,15515.7973217,0
190,4,15684.8968925,-0.03,-0.0299032138,-1.88495e-06,15864.1947001,0.03,0.0301331759,1.942706e-06,15510.9295488,0
191,4,15685.7439886,-0.03,-0.0299030464,-1.884522e-06,15867.7088408,0.03,0.0301330564,1.942909e-06,15509.2474223,0
192,4,15698.5109996,-0.03,-0.0299014299,-1.882936e-06,15880.2157376,0.03,0.0301313873,1.941173e-06,15522.2575731,0
193,4,15684.7685382,-0.03,-0.0299026542,-1.884491e-06,15867.7617457,0.03,0.0301328364,1.943139e-06,15507.2984485,0
194,4,15686.8853757,-0.03,-0.0299020277,-1.885125e-06,15862.0928055,0.03,0.0301322003,1.941908e-06,15516.8011564,0
195,4,15679.667199,-0.03,-0.0299023577,-1.885542e-06,15858.7598155,0.03,0.0301353232,1.943473e-06,15505.9129713,0
196,4,15692.1829761,-0.03,-0.0299028121,-1.883966e-06,15872.267387,0.03,0.0301332046,1.941889e-06,15517.4701541,0
197,4,15690.0816831,-0.03,-0.0299025921,-1.88438e-06,15868.6634861,0.03,0.0301335442,1.941995e-06,15516.798035,0
