index,differential_resistance_ohm,negative_voltage_v,positive_voltage_v,negative_current_a,positive_current_a,compliance_hit
114,240159.686848,-0.0299004484,0.0301364473,-1.40084e-07,1.099034e-07,0
115,242250.109954,-0.0299019501,0.0301351369,-1.406889e-07,1.071421e-07,0
116,241246.182507,-0.0298990041,0.0301361699,-1.383346e-07,1.105198e-07,0
117,240859.349449,-0.0299007736,0.03013419,-1.399739e-07,1.092793e-07,0
118,234950.91917,-0.0299016296,0.0301352613,-1.423844e-07,1.131451e-07,0
119,239065.095143,-0.0299012375,0.0301346539,-1.411695e-07,1.099583e-07,0
120,238049.202299,-0.029900611,0.0301338505,-1.40429e-07,1.117645e-07,0
121,239185.237657,-0.0299008119,0.0301342283,-1.405411e-07,1.10457e-07,0
122,238737.94277,-0.0298989324,0.030135376,-1.399346e-07,1.115307e-07,0
123,235111.692566,-0.0299003862,0.030132234,-1.431558e-07,1.121808e-07,0
124,232534.802239,-0.0299004675,0.0301360886,-1.446862e-07,1.134969e-07,0
125,235144.647264,-0.0298995206,0.0301342952,-1.430209e-07,1.12285e-07,0
126,242307.461564,-0.0299004149,0.0301337787,-1.389952e-07,1.087652e-07,0
127,238922.896857,-0.0299008692,0.0301345056,-1.401378e-07,1.111373e-07,0
128,238238.516393,-0.0298999032,0.0301347735,-1.404451e-07,1.115489e-07,0
129,234864.625177,-0.0298994059,0.0301352804,-1.440866e-07,1.115274e-07,0
130,237807.675259,-0.0299004436,0.0301341278,-1.408906e-07,1.115595e-07,0
131,235844.343056,-0.0299000658,0.0301353617,-1.415761e-07,1.129792e-07,0
132,240487.207979,-0.0299015292,0.0301336974,-1.394656e-07,1.101744e-07,0
133,237395.75039,-0.0298995158,0.0301341661,-1.392446e-07,1.136398e-07,0
134,232986.510941,-0.0298992719,0.0301356438,-1.448235e-07,1.12852e-07,0
135,237520.173475,-0.0299007162,0.0301355004,-1.401359e-07,1.126267e-07,0
136,239464.692875,-0.0298999845,0.0301358734,-1.399315e-07,1.107771e-07,0
137,240559.780747,-0.0298993915,0.0301337692,-1.395679e-07,1.099882e-07,0
138,239637.790794,-0.0299013857,0.0301350221,-1.376377e-07,1.128921e-07,0
139,236359.87575,-0.0299003432,0.0301358925,-1.418121e-07,1.121914e-07,0
140,233691.920971,-0.0298998937,0.0301340418,-1.428614e-07,1.140321e-07,0
141,240335.336466,-0.029899688,0.0301341804,-1.398499e-07,1.099422e-07,0
142,241441.543232,-0.029898172,0.0301355434,-1.391939e-07,1.094531e-07,0
143,244206.152692,-0.0298978723,0.0301338854,-1.374804e-07,1.083437e-07,0
144,242738.677987,-0.0298988479,0.0301355975,-1.370631e-07,1.102582e-07,0
145,237668.511701,-0.0299024155,0.0301340528,-1.401889e-07,1.12417e-07,0
146,234824.562227,-0.0298976906,0.0301356549,-1.436274e-07,1.120245e-07,0
147,237536.276983,-0.0299011147,0.0301344928,-1.406378e-07,1.121051e-07,0
148,239571.411525,-0.0298989197,0.0301335554,-1.415149e-07,1.090679e-07,0
149,247771.889118,-0.0299002874,0.0301338998,-1.355464e-07,1.067498e-07,0
150,245883.818513,-0.0298993453,0.030134861,-1.359982e-07,1.081586e-07,0
151,241507.460663,-0.029900493,0.0301343493,-1.402632e-07,1.083206e-07,0
152,240145.660727,-0.0298999622,0.0301343397,-1.398016e-07,1.101896e-07,0
153,241021.996114,-0.0299021621,0.030134971,-1.39449e-07,1.09645e-07,0
154,237855.898236,-0.0299018417,0.0301358175,-1.412551e-07,1.111568e-07,0
155,242243.59518,-0.0299016838,0.0301342489,-1.394276e-07,1.084053e-07,0
156,239085.310573,-0.029902626,0.0301345406,-1.406986e-07,1.104133e-07,0
157,243474.753664,-0.0299019564,0.0301350953,-1.392477e-07,1.073366e-07,0
158,241313.179657,-0.0299010861,0.0301336272,-1.395022e-07,1.092812e-07,0
