pair,source_v_neg,current_neg_a,voltage_neg_v,source_v_pos,current_pos_a,voltage_pos_v,delta_v,delta_i,differential_resistance_ohm,abs_step_ohm
136,-0.03,-8.316197e-07,-0.0298985368,0.03,8.578021e-07,0.0301355951,0.060034131899999996,1.6894218e-06,35535.31267324714,120.64792288429453
137,-0.03,-8.201035e-07,-0.0298996463,0.03,8.531454e-07,0.0301366281,0.0600362744,1.6732488999999999e-06,35880.062075642185,344.7494023950421
138,-0.03,-8.191287e-07,-0.0299006172,0.03,8.574515e-07,0.0301334718,0.060034089,1.6765802e-06,35807.46629358977,72.59578205241269
139,-0.03,-8.229815e-07,-0.0298987999,0.03,8.620474e-07,0.0301328213,0.060031621199999996,1.6850289e-06,35626.46385471489,181.00243887487886
140,-0.03,-8.33292e-07,-0.0298987281,0.03,8.849819e-07,0.030134213,0.0600329411,1.7182739e-06,34937.93457492429,688.5292797906004
141,-0.03,-8.314906e-07,-0.0298988716,0.03,8.647518e-07,0.0301353512,0.0600342228,1.6962424e-06,35392.47857499612,454.54400007182994
142,-0.03,-8.14194e-07,-0.0298985894,0.03,8.483001e-07,0.0301367716,0.060035361,1.6624941e-06,36111.623493881874,719.1449188857514
143,-0.03,-8.269723e-07,-0.0298999476,0.03,8.536468e-07,0.0301360399,0.0600359875,1.6806190999999999e-06,35722.542662998414,389.0808308834603
144,-0.03,-8.327832e-07,-0.0298998855,0.03,8.503851e-07,0.0301364416,0.0600363271,1.6831683e-06,35668.6417513923,53.90091160611337
145,-0.03,-8.152886e-07,-0.0298996416,0.03,8.465957e-07,0.0301336104,0.060033251999999995,1.6618843e-06,36123.60499464373,454.9632432514263
146,-0.03,-8.190999e-07,-0.0299008132,0.03,8.506833e-07,0.0301348634,0.060035676600000004,1.6697832000000001e-06,35954.17452996293,169.4304646807941
147,-0.03,-8.337905e-07,-0.0299017888,0.03,8.47169e-07,0.0301354134,0.0600372022,1.6809595000000001e-06,35716.03134995221,238.14318001072388
148,-0.03,-8.17229e-07,-0.0298992398,0.03,8.467291e-07,0.0301360208,0.0600352606,1.6639581000000001e-06,36079.7910716622,363.7597217099901
149,-0.03,-8.237861e-07,-0.0298995698,0.03,8.533109e-07,0.0301352843,0.0600348541,1.6770970000000001e-06,35796.88837318294,282.9026984792581
150,-0.03,-8.226125e-07,-0.0298998998,0.03,8.694726e-07,0.0301349256,0.060034825400000005,1.6920851e-06,35479.79082139545,317.0975517874904
151,-0.03,-8.286783e-07,-0.0299016884,0.03,8.579374e-07,0.0301363986,0.060038087000000004,1.6866156999999999e-06,35596.77939675292,116.98857535747084
152,-0.03,-8.227115e-07,-0.0299001676,0.03,8.56715e-07,0.0301331131,0.0600332807,1.6794265e-06,35746.298334580286,149.51893782736443
153,-0.03,-8.503648e-07,-0.0298993929,0.03,8.668026e-07,0.0301357243,0.0600351172,1.7171674000000002e-06,34961.7149731587,784.583361421588
154,-0.03,-8.591812e-07,-0.0298993881,0.03,8.633501e-07,0.0301353847,0.0600347728,1.7225313e-06,34852.64552231939,109.06945083930623
155,-0.03,-8.54607e-07,-0.0298989625,0.03,8.631264e-07,0.0301353178,0.0600342803,1.7177334000000001e-06,34949.707736951495,97.06221463210386
156,-0.03,-8.519973e-07,-0.0298986755,0.03,8.683701e-07,0.0301343948,0.0600330703,1.7203674e-06,34895.49400901226,54.21372793923365
157,-0.03,-8.536933e-07,-0.0299001867,0.03,8.511904e-07,0.0301330555,0.0600332422,1.7048837000000001e-06,35212.514613166866,317.02060415460437
158,-0.03,-8.413866e-07,-0.0298989529,0.03,8.799885e-07,0.0301374218,0.060036374700000006,1.7213751e-06,34876.9856726753,335.5289404915675
159,-0.03,-8.631446e-07,-0.0299004689,0.03,8.701961e-07,0.0301350641,0.060035533,1.7333407e-06,34635.73722119373,241.248451481566
160,-0.03,-8.648223e-07,-0.0299013202,0.03,8.793975e-07,0.0301345476,0.0600358678,1.7442198e-06,34419.89811146508,215.83910972865124
161,-0.03,-8.568297e-07,-0.0298998041,0.03,8.630234e-07,0.0301355567,0.0600353608,1.7198531e-06,34907.26085850006,487.362747034982
162,-0.03,-8.562416e-07,-0.0298998137,0.03,8.698886e-07,0.0301325677,0.0600323814,1.7261302e-06,34778.59399018684,128.66686831322295
163,-0.03,-8.632633e-07,-0.0298996941,0.03,8.720875e-07,0.030132759,0.060032453099999994,1.7353508e-06,34593.842985522,184.75100466483855
164,-0.03,-8.541707e-07,-0.0298983025,0.03,8.738332e-07,0.0301340741,0.060032376600000006,1.7280039e-06,34740.880272318835,147.03728679683263
165,-0.03,-8.533596e-07,-0.0299015497,0.03,8.664029e-07,0.0301344663,0.060036016,1.7197625e-06,34909.480814938106,168.60054261927144
166,-0.03,-8.516985e-07,-0.0299007654,0.03,8.708407e-07,0.0301348106,0.060035576,1.7225392e-06,34852.95196765334,56.528847284767835
167,-0.03,-8.602775e-07,-0.0298992016,0.03,8.758649e-07,0.030134648,0.0600338496,1.7361423999999998e-06,34578.874175298064,274.07779235527414
