nplc,round,sample_index,sample_wall_time,sample_started_s,sample_ended_s,sample_elapsed_s,differential_resistance_ohm,compliance_hit,negative_source_voltage_v,negative_measured_voltage_v,negative_current_a,negative_resistance_ohm,positive_source_voltage_v,positive_measured_voltage_v,positive_current_a,positive_resistance_ohm
0.1,2,63,2026-05-27T21:49:54.485,16672.9671994,16673.1354991,0.16829970000253525,44978.92509196889,False,-0.03,-0.0298837795,-6.292178e-07,47493.53800861959,0.03,0.0301075905,7.045484e-07,42733.175605820696
0.1,2,64,2026-05-27T21:49:54.650,16673.13556,16673.3008479,0.16528789999938454,43718.95366933565,False,-0.03,-0.0299212602,-7.347942e-07,40720.599318829685,0.03,0.030136284,6.389245e-07,47167.20676699673
0.1,2,65,2026-05-27T21:49:54.832,16673.3009033,16673.4825814,0.1816780999979528,30812.735221996998,False,-0.03,-0.0298706223,-1.261877e-06,23671.579955891106,0.03,0.0301501363,6.860435e-07,43947.84922530423
0.1,2,66,2026-05-27T21:49:54.997,16673.482636,16673.6475043,0.1648682999984885,32109.905013678992,False,-0.03,-0.029913063,-9.291383e-07,32194.413899416264,0.03,0.0301471914,9.413205e-07,32026.489808731454
0.1,2,67,2026-05-27T21:49:55.154,16673.6475615,16673.804925,0.15736349999860977,42074.50489643457,False,-0.03,-0.0298664067,-5.005003e-07,59673.10449164565,0.03,0.0301617775,9.262113e-07,32564.683134399245
0.1,2,68,2026-05-27T21:49:55.305,16673.80498,16673.9558901,0.150910099997418,28528.026578823337,False,-0.03,-0.0299420869,-6.956828e-07,43039.8550891297,0.03,0.0300892055,1.408609e-06,21360.93514949855
0.1,2,69,2026-05-27T21:49:55.468,16673.9559426,16674.1185323,0.16258969999762485,42182.38152782011,False,-0.03,-0.0298449715,-1.041856e-06,28645.96594922907,0.03,0.0300903293,3.79005e-07,79392.96130657906
0.1,2,70,2026-05-27T21:49:55.627,16674.1185868,16674.2773563,0.1587695000016538,27028.235937555455,False,-0.03,-0.0298694831,-1.390565e-06,21480.10564051303,0.03,0.0300656382,8.269353e-07,36357.90877472518
0.1,2,71,2026-05-27T21:49:55.792,16674.2774098,16674.442405,0.16499520000070333,32300.334377958654,False,-0.03,-0.0299305838,-5.131193e-07,58330.65293003011,0.03,0.0301448501,1.346782e-06,22382.872729216753
0.1,2,72,2026-05-27T21:49:55.969,16674.4424579,16674.6195174,0.17705949999799486,46759.96263401235,False,-0.03,-0.0299191652,-8.222934e-07,36385.02412885717,0.03,0.0301082027,4.614409e-07,65248.231572017125
0.7,2,0,2026-05-27T21:49:57.579,16676.0338066,16676.2302544,0.19644780000089668,35428.71430997494,False,-0.03,-0.0298622981,-1.005378e-06,29702.557744450347,0.03,0.0301366689,6.881344e-07,43794.74256773096
0.7,2,1,2026-05-27T21:49:57.761,16676.2303152,16676.4112367,0.18092150000302354,36291.784122719866,False,-0.03,-0.0298661514,-9.704059e-07,30776.968070783572,0.03,0.0301355416,6.829075e-07,44128.29204540879
0.7,2,2,2026-05-27T21:49:57.958,16676.4112937,16676.6082343,0.19694060000256286,35270.31158878417,False,-0.03,-0.0298628583,-1.013731e-06,29458.36548354544,0.03,0.0301327882,6.87293e-07,43842.710750727856
0.7,2,3,2026-05-27T21:49:58.143,16676.6082867,16676.7944771,0.1861903999997594,38563.73411486952,False,-0.03,-0.0298648738,-8.698143e-07,34334.76984685122,0.03,0.0301341957,6.860275e-07,43925.638112174805
0.7,2,4,2026-05-27T21:49:58.340,16676.7945362,16676.9904492,0.1959129999995639,30061.088267545234,False,-0.03,-0.0298635688,-1.013009e-06,29480.062664793702,0.03,0.0301249381,9.825444e-07,30660.129048621107
0.7,2,5,2026-05-27T21:49:58.521,16676.9905017,16677.1725659,0.1820642000020598,36190.24122568937,False,-0.03,-0.0298654904,-9.765942e-07,30581.269477127757,0.03,0.0301379006,6.81405e-07,44229.0570218886
0.7,2,6,2026-05-27T21:49:58.718,16677.1726276,16677.3694234,0.19679579999865382,29754.23971590402,False,-0.03,-0.0298647799,-1.015473e-06,29409.723252119948,0.03,0.0301263133,1.000747e-06,30103.825742170597
0.7,2,7,2026-05-27T21:49:58.897,16677.3694789,16677.5484067,0.1789277999996557,34514.467746324044,False,-0.03,-0.0298819148,-9.598298e-07,31132.514118648953,0.03,0.0301177253,7.785612e-07,38683.825112271195
0.7,2,8,2026-05-27T21:49:59.093,16677.5484613,16677.7443345,0.1958731999984593,33053.552146767346,False,-0.03,-0.0298828576,-9.074315e-07,32931.25442526516,0.03,0.0301031387,9.073809e-07,33175.85668818905
0.7,2,9,2026-05-27T21:49:59.277,16677.7444175,16677.9274243,0.18300680000174907,38925.901795914986,False,-0.03,-0.0298970137,-7.124979e-07,41960.844656524605,0.03,0.0301130522,8.291508e-07,36317.94385291554
0.7,2,10,2026-05-27T21:49:59.472,16677.9274791,16678.1221542,0.19467509999958565,32663.469441549798,False,-0.03,-0.0298947796,-8.566537e-07,34897.15809317114,0.03,0.0301052635,9.802621e-07,30711.44288859072
0.7,2,11,2026-05-27T21:49:59.651,16678.12221,16678.3016439,0.17943389999709325,35412.35010408144,False,-0.03,-0.0298969164,-7.01563e-07,42614.72797168608,0.03,0.0301072711,9.928794e-07,30323.190409630814
0.7,2,12,2026-05-27T21:49:59.849,16678.3016992,16678.4992886,0.19758939999883296,35161.54356928465,False,-0.03,-0.0298974152,-7.1376e-07,41887.21026675633,0.03,0.0301042786,9.926979e-07,30325.720040306318
0.7,2,13,2026-05-27T21:50:00.028,16678.4993434,16678.6790151,0.1796716999997443,34042.758978332065,False,-0.03,-0.0298954202,-7.785377e-07,38399.45091933249,0.03,0.0301180796,9.843482e-07,30596.977370406123
0.7,2,14,2026-05-27T21:50:00.222,16678.6790688,16678.8733692,0.19430039999861037,35762.349174353534,False,-0.03,-0.0298778275,-7.96084e-07,37530.99861321167,0.03,0.0301244744,8.817225e-07,34165.48222371551
0.7,2,15,2026-05-27T21:50:00.408,16678.8734247,16679.059127,0.18570230000113952,31190.220108683363,False,-0.03,-0.0298855478,-1.019255e-06,29320.972474993992,0.03,0.030118469,9.045537e-07,33296.496382691264
0.7,2,16,2026-05-27T21:50:00.605,16679.0591824,16679.2555553,0.19637289999809582,34893.04909267258,False,-0.03,-0.0298843522,-7.88212e-07,37914.10458100105,0.03,0.0301186876,9.314153e-07,32336.47503965202
